"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 23 15:11:20 GMT 2022","Mon May 23 15:11:20 GMT 2022","0","","test_example","","","","test_allure_simple_test_2 displayName2",""
"passed","Mon May 23 15:11:20 GMT 2022","Mon May 23 15:11:20 GMT 2022","1","","test_example","","","","test_allure_simple_test displayName",""
